dimensions,0.1,0.05,0.025
4,1,,
5,0.9000,1.0000,1.0000
6,0.8286,0.8857,0.9429
7,0.7143,0.7857,0.8929
8,0.6429,0.7381,0.8333
9,0.6000,0.7000,0.7833
10,0.5636,0.6485,0.7455
11,0.5364,0.6182,0.7091
12,0.5035,0.5874,0.6783
13,0.4835,0.5604,0.6484
14,0.4637,0.5385,0.6264
15,0.4464,0.5214,0.6036
16,0.4294,0.5029,0.5824
17,0.4142,0.4877,0.5662
18,0.4014,0.4716,0.5501
19,0.3912,0.4596,0.5351
20,0.3805,0.4466,0.5218
21,0.3701,0.4364,0.5091
22,0.3608,0.4252,0.4975
23,0.3528,0.4160,0.4862
24,0.3443,0.4070,0.4757
25,0.3369,0.3977,0.4662
26,0.3306,0.3901,0.4571
27,0.3242,0.3828,0.4487
28,0.3180,0.3755,0.4401
29,0.3118,0.3685,0.4325
30,0.3063,0.3624,0.4251
40,0.2640,0.3128,0.3681
50,0.2353,0.2791,0.3293
60,0.2144,0.2545,0.3005
70,0.1982,0.2354,0.2782
80,0.1852,0.2201,0.2602
90,0.1745,0.2074,0.2453
100,0.1654,0.1967,0.2327
